,0
incident_id,object
date,datetime64[ns]
era,object
exam_name,object
conducting_body,object
body_type,object
area,object
leak_status,object
action_taken,object
note,object
arrests,float64
convictions,float64
aspirants_affected,float64
linked_deaths,float64
deaths_note,object
source_name,object
source_url,object
confidence,object
arrests_status,object
conviction_status,object
deaths_status,object
exam_category,object
medical_type,object
engineering_type,object
forest_type,object
year,int32
quarter,object
state,object
region,object
organization_level,object
severity,category
affected_group,category
exam_level,object
conducting_body_category,object
exam_mode,object
decade,object
state_code,object
region_code,object
affected_category,category
leak_confirmed,object
repeat_exam,object
